full_book_title,stated_publication_places,number_of_volumes,parisian_keyword
"Entretiens sur la franc-maçonnerie, par un philosophe bien digne d'en être",n.pl.,1,Histoire
Entretiens (les) du Palais Royal,Paris; Utrecht,1,Belles-Lettres
Essai sur le caractère et les moeurs des françois comparées à celles des Anglois,London,1,Histoire
"Folette, ou l'Enfant gâté",n.pl.,1,Belles-Lettres
"Economie (l') de la vie humaine, trad. sur un manuscrit indien, composé par un ancien Bramine",Yverdon,1,Science et Arts
"Essai sur le caractère, les moeurs et l'esprit des femmes dans les différens siècles",Lausanne; Paris,1,Science et Arts
"Essai contre l'abus du pouvoir des souverains et juste idée du gouvernement d'un bon prince, suivi du tocsin contre le despotisme du souverain, par M***, avocat",London,1,Science et Arts
Essai sur l'éducation militaire avec un abrégé de la constitution politique de l'Angleterre,Amsterdam,1,Science et Arts
Essais sur l'administration,n.pl.,2,Science et Arts
"Expériences pour servir à l'histoire de la génération des animaux et des plantes, par M. l'Abbé Spallanzani. Avec une Ebauche de l'histoire des êtres organisés avant leur fécondation, par Jean Senebier",Geneva,1,Science et Arts
"Etrennes de l'Empereur de la Chine aux souverains de l'Europe pour l'année 1782. Avec un plan de pacification proposé par le monarque chinois, & ses instructions au mandarin Chou-King ... son plénipotentiaire au congrès proposé pour rétablir la paix entre les puissances européennes",Constantinople,1,Histoire
Extrait du Dictionnaire historique et critique,Amsterdam,2,Belles-Lettres
Esprit de Guillaume-Thomas Raynal,n.pl.,2,Science et Arts
"Evelina, ou L'entrée d'une jeune personne dans le monde",n.pl.,1,Belles-Lettres
"Etat present des Indes hollandaises, contenant une peinture vraie et fidèle du gouvernement, de l'administration et de la conduite des Hollandais dans les Indes-Orientales",Batavia,1,Histoire
"Essai sur l'état présent, naturel, civil et politique de la Suisse: ou lettres adressées à Guillaume Melmoth, écuyer, par Guillaume Coxe",n.pl.,1,Histoire
"Ecole (l') des jeunes demoiselles, ou Lettres d'une mère vertueuse à sa fille, avec les réponses de la fille à sa mère, recueillies et publiées par M. l'abbé Reyre",Paris,2,Science et Arts
"Excursion dans les mines du Haut Faucigny, et description de deux nouvelles routes pour aller sur le Buet et le Breven, avec une notice sur le Jardin  ",Lausanne,1,Histoire
"Egaremens (les) du coeur et de l'esprit, ou Mémoires de Mr de Meilcour",Amsterdam,3,Belles-Lettres
Education (de l') d'un jeune seigneur,Paris,1,Science et Arts
"Entretiens, drames et contes moraux, à l'usage des enfants, par Mme de La Fite",La Haye,2,Belles-Lettres
"Elémens de psycologie, ou Leçons élémentaires sur l'âme à l'usage des enfans, par J. H. Campe... ouvrage traduit de l'allemand",n.pl.,1,Science et Arts
"Mon Elève, ou Emile instituteur: nouvelle éducation morale",Neuchâtel,1,Science et Arts
"Elévation à Dieu sur tous les mysteres de la religion chrétienne, ouvrage posthume de messire Jacques-Benigne Bossuet, evêque de Meaux",Paris,2,Théologie
"Essai sur quelques changemens qu'on pourrait faire dès à présent dans les loix criminelles de France, par un honnête homme, qui depuis qu'il connoit ces loix, n'est pas bien sûr de n'être pas pendu un jour ",Paris,1,Jurisprudence
"Fille (la) de seize ans, drame en 3 actes",Neuchâtel,1,Belles-Lettres
Nouvelle grammaire angloise... par J.-B. Robinet et J.-B. Dehaynin,Amsterdam,1,Belles-Lettres
Observations sur les maladies vénériennes,Paris,1,Science et Arts
Nouvelle et parfaite grammaire françoise et allemande,Bienne,1,Belles-Lettres
Fat (le) corrigé. Histoire Morale,Lausanne,1,Belles-Lettres
Esprit (l') de Voltaire dans ses écrits,Paris,1,Science et Arts
Flaçons (les),n.pl.,1,Belles-Lettres
Favori (le) de la fortune,Amsterdam; Paris,2,Belles-Lettres
Fables (les) d'Esope,n.pl.,1,Belles-Lettres
"[Femmes célèbres, ou les françoises]",n.pl.,4,Undetermined
"Géographie universelle, exposée dans les différentes méthodes qui peuvent abréger l'étude & faciliter l'usage de cette science",Lyon,1,Histoire
"Petite guerre (la), ou traite du service des troupes legeres en campagne",n.pl.,1,Science et Arts
"Génie (le) de Pétrarque, ou Imitation en vers françois de ses plus belles poésies, précédée de la vie de cet homme célèbre",Parma,1,Belles-Lettres
"Géographie moderne, précédée d'un petit Traité de la sphère et du globe, ornée de traits d'histoire naturelle et politique et terminée par une géographie ecclésiastique... par M. l'abbé Nicolle de La Croix. Nouvelle édition... augmentée ",Paris,2,Histoire
"George Wrey, ou Le Bouquet du coeur. Commédie en un acte & en prose, mêlée de vaudevilles. Par M. de La G***",Geneva,1,Belles-Lettres
"Galerie de l'ancienne cour, ou, Mémoires anecdotes pour servir a l'histoire des regnes de Louis XIV et de Louis XV",Maestricht,3,Histoire
"Grammaire des dames, ou nouveau traité d'orthographe françoise: réduite aux règles les plus simples, et justifiée par des morceaux choisis de poésie, d'histoire, etc.: ouvrage dédié à madame la comtesse de Genlis  ",Geneva,1,Belles-Lettres
"Gouttes (les) glaciales helvétiques éprouvées dans nombre de maladies, et traité sur l'usage des gouttes mercurielles dans tous les maux vénériens",Geneva; Lyon,1,Science et Arts
Collection de pièces intéressantes et authentiques concernant la vie & les derniers jours de Frédéric le Grand,Neuchâtel,1,Histoire
"Histoire des gouvernemens du nord ou de l'origine et des progrès du gouvernement des Provinces-Unies, du Danemark, de la Suède, de la Russie et de la Pologne jusqu'en 1777, ouvrage traduit de l'anglois de M. Williams, dans lequel on développe les ressources et l'état actuel des gouvernements du nord ",Yverdon,6,Histoire
"Histoire universelle, Jacques Auguste de Thou; avec la suite par Nicolas Rigault; les Mémoires de la vie de l'auteur, un recueil de pièces concernant sa personne & ses ouvrages ...; le tout traduit sur la nouvelle édition latine de Londres; et augmenté de remarques historiques et critiques de Casaubon, de Du Plessis Mornay, G. Laurent, Ch. de L'Ecluse, Guy Patin, P. Bayle. J. Le Duchat, & autres; suivant la copie imprimée à Londres",Basle,11,Histoire
"Histoire de l'homme: considéré dans ses loix, dans ses arts, dans ses sciences, dans ses moeurs, dans ses usages et dans sa vie privée",Yverdon,3,Histoire
"Histoire intéressante de Madame la duchesse de C***, écrite par elle-même",Lausanne,1,Belles-Lettres
"Histoire du peuple d'Israël, depuis la création du monde jusqu'au retour de la captivité de Babylone, tirée de l'Écriture sainte, par Jean-Louis Maizonnet",Dordrecht,5,Histoire
"Histoire de Marguerite fille de Suzon, nièce de Dxx Bxxxxx ",n.pl.,1,Belles-Lettres
"Choix de poésies légères, contenant les quatre heures de la toilette des dames, Parapilla, les Saisons par Bernard, les Elémens, &c.",Nyon,1,Belles-Lettres
[Homme (l')],n.pl.,2,Undetermined
Histoire d'un voyage fait aux Isles Malouines,n.pl.,1,Histoire
"Histoire de Monsieur Montague, traduite de l'anglois ",Lausanne,2,Belles-Lettres
"Histoire raisonnée des opérations militaires et politiques de la dernière guerre, suivie d'observations sur la révolution qui est arrivée dans les moeurs et sur celle qui est sur le point d'arriver dans la Constitution d'Angleterre, par M. Joly de St-Valier ",Liège,1,Science et Arts
"Homme (l') universel, traduit de l'espagnol de Baltasar Gracien",Amsterdam,1,Science et Arts
"Histoire d'Agathon, ou tableau philosophique des moeurs de la Gréce",Leiden,4,Belles-Lettres
Justification de M. Necker sur les imputations de M. de Calonne,n.pl.,1,Science et Arts
"Histoire d'Assyrie, ou Histoire des monarchies de Ninive, de Babylone et d'Ecbatane",Paris,2,Histoire
"Grand (le) Grimoire, avec la grande clavicule de Salomon et la magie noire, ou les forces infernales du grand Agrippa, pour découvrir sous les trésors cachés et se faire obéir à tous les esprits suivi de tous les arts magiques ",n.pl.,1,Science et Arts
Honnêtetés (les) littéraires,n.pl.,1,Belles-Lettres
Hipparchie et Cratès; conte philosophique renouvellé des Grecs. Par un habitant de Potsdam,n.pl.,1,Belles-Lettres
"Hermite (l') philosophe, ou lettres et réflexions d'un h'omme du monde qui vit dans la retraite",n.pl.,1,Science et Arts
"Homme-sans-façon (l'); ou, Lettres d’un voyageur allant de Paris à Spa",n.pl.,2,Belles-Lettres
"Cauchoise (la), ou Mémoires d'une courtisanne célèbre",n.pl.,1,Belles-Lettres
Nouveau code criminel pour le grand duché de Toscane... traduit de l'italien,Lausanne,1,Jurisprudence
"Jeannette seconde, ou la Nouvelle Paysanne parvenue",Francfort,2,Belles-Lettres
"Nuits (les) Clémentines: Poëme en IV Chants, sur la mort de Clément XIV",Rotterdam,1,Belles-Lettres
"Institutions de médecine pratique, traduites sur la quatrième et dernière édition de l'ouvrage anglais de M. Cullen... par M. Pinel",Paris,4,Science et Arts
Institution des enfans: imprimé ci-devant sous le titre impropre d'Abrégé de toutes les sciences à l'usage des enfans de six ans jusqu'à douze ,n.pl.,1,Science et Arts
Journal historique du voyage fait au Cap de Bonne-Espérance par feu M. l'abbé de La Caille... Précédé d'un discours sur la vie de l'auteur,Paris,1,Histoire
"Intrigue (l') du cabinet, sous Henri IV et Louis XIII, terminée par la Fronde, par M. Anquetil ",Maestricht,4,Histoire
"Agrémens des campagnards dans la chasse des oiseaux, et le plaisir des grands seigneurs dans les oiseaux de fauconnerie",Paris,1,Science et Arts
"Ammien Marcellin, ou les dix-huit livres de son histoire qui nous sont restés traduits en français",Lyon,3,Histoire
Iliade d'Homère,n.pl.,3,Belles-Lettres
Intrigante (l') comédie en deux actes,n.pl.,1,Belles-Lettres
"Johann Theodor Jablonskies, Allgemeines Lexicon der Künste und Wissenschaften",n.pl.,1,Science et Arts
"Instruction sur l'histoire de France et romaine, par demandes et par réponses, avec une explication succincte des ""Métamorphoses d'Ovide"", et un recueil de belles sentences tirées de plusieurs bons auteurs, par M. Le Ragois",Paris,1,Histoire
"Jeux (les) de la petite Thalie, ou Nouveaux petits drames dialogués sur des proverbes: propres à former les moeurs des enfans & des jeunes personnes, dupuis l'age de cinq ans jusqu' à vingt",Amsterdam,1,Belles-Lettres
Joujou (le) des demoiselles,n.pl.,1,Belles-Lettres
"Je veux être heureux, entretiens familiers, par M. D***",Paris,1,Théologie
"Isle (l') heureuse, comédie",n.pl.,1,Belles-Lettres
Introduction à la syntaxe latine,Geneva,2,Belles-Lettres
Instructions de morale à l'usage des enfans qui commencent à penser: essai trouvé dans les papiers de Sir Robert Valmore,London,1,Science et Arts
Joseph: poëme en neuf chants,n.pl.,1,Belles-Lettres
"Jurisprudence (de la) criminelle, ou essai sur la question proposée par l'illustre société économique de Berne pour la confection d'un code criminel ",Geneva,2,Jurisprudence
Lettres de Madame la comtesse de L*** à Monsieur le comte de R***,Paris,2,Belles-Lettres
Liste générale des postes de France,Paris,1,Science et Arts
"Lettre de Joly de Saint-Valier à la Princesse de (Daschkow) à Petersbourg sur les Ballons appellés Globes Aërostatiques; avec l'explication des Brouillards du Juin et Juillet derniers, et les Raisons qui doivent determines à adoptes la nouvelle Orthographe Françoise",Ostende,1,Belles-Lettres
"Légende (la) joyeuse, ou les trois cent trois leçons de Lampsaque ",n.pl.,1,Belles-Lettres
"Lettres de Mademoiselle Aïssé à Madame C... qui contiennent plusieurs anecdotes de l'histoire du temps, depuis l'année 1726 jusqu'en 1733. Précédées d'un narré très court de l'histoire de Mademoiselle Aïssé, pour servir à l'intelligence de ses lettres. Avec des notes, dont quelques-unes sont de M. de Voltaire ",Paris,1,Belles-Lettres
Lettre d'un citoyen du monde aux citoyens de Genève,London,1,Histoire
"Lettre de M. l'abbé Fortis à mylord comte de Bute, sur les moeurs et usages des Morlaques appellés Monténégrins",Berne,1,Histoire
"Lettres du comte de Chesterfield à son fils Philippe Stanhope... avec quelques autres pièces sur divers sujets. Nouvelle édition, revue... et augmentée sur la septième édition anglaise",n.pl.,4,Science et Arts
"Lettre de feu M. Guillaume Hunter, docteur en médecine, a la Societe medicale de Londres, sur les preuves d'infanticide",n.pl.,1,Science et Arts
Nouvelles lettres sur l'éducation: ou le bonheur de l'homme fondé sur les principes de son éducation ,London,1,Science et Arts
"Leçons de navigation, par le citoyen Dulague",Rouen,1,Science et Arts
"Lettres sur la France, l'Angleterre et l'Italie, par le Cte F. d. H.",Geneva,1,Histoire
"Lettre historique, politique et critique de milord Gaz à milord Méphitique sur son voyage à Francfort pour y voir le foire de septembre 1785 & l'expérience aerostatique de M. Blanchard",n.pl.,1,Science et Arts
"Lettres d'un négociant à son fils, sur les sujets les plus importants du commerce. Précédées d'observations sur la manière d'écrire les lettres du commerce, de rédiger les contrats, les lettres de change, les obligations, garanties, procurations, accords, et autres pièces relatives aux affaires du commerce ",Strasbourg,1,Science et Arts
"Lettres d'un voyageur anglois sur la France, la Suisse et l'Allemagne",Geneva,4,Histoire
"Loisirs (les) d'un ministre d'Etat, ou essais dans le goût de ceux de Montagne  ",n.pl.,2,Histoire
Lettres juives,n.pl.,1,Belles-Lettres
"Loto (le), poème en 3 chants",n.pl.,1,Belles-Lettres
"Amours, ou lettres d'Alexis et Justine par M****",Neuchâtel; Verrières,1,Belles-Lettres
Lettres familières de M. Winckelmann,Yverdon,3,Science et Arts
"Précieuse (la) collection, ou Recueil des pensées les plus sublimes des anciens & des modernes, avec un choix des plus beaux traits de l'Histoire, à l'usage des adolescens & des hommes faits ",Verrières,1,Science et Arts
[Magasin des enfans],n.pl.,1,Belles-Lettres
"Manuel des jeunes orateurs, ou tableau historique et méthodique de l'éloquence chez les Grecs, les Romains et les Français",Moudon,2,Belles-Lettres
"Mémoires de Mme la Bonne de Batteville, ou la Veuve parfaite",Leiden,1,Belles-Lettres
Mélanges de poésie et de littérature,Lausanne,1,Belles-Lettres
"Musique (de la) considérée en elle-même et dans ses rapports avec la parole, les langues, la poésie et le théâtre",Paris,1,Science et Arts
Muses (les) en belle humeur; ou Elite de poésies libres,Rome,1,Belles-Lettres
"Métaphisique (la) du coeur, essai moral, par M. de la Grave",Geneva,1,Science et Arts
"Mémoires de Monsieur de Gourville concernant les affaires auxquelles il a été employé par la Cour, depuis 1642, jusqu'en 1698",Maestricht,2,Histoire
Mémoires pour le Clergé de France dans l'affaire des foi et hommages et réponses de l'inspecteur des domaines,Amsterdam,1,Jurisprudence
